,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
0,Boeing 787-9,Business,Economy Class,Denver to London,denver,london,Dec-22,1,1,1,3,1,,1,FALSE
4,Boeing 777,Solo Leisure,Business Class,London to Cape Town,london,cape town,Nov-22,4,2,1,4,1,,1,FALSE
3,A320,Solo Leisure,Business Class,London to Lisbon,london,lisbon,Nov-22,3,4,4,,3,,3,TRUE
2,A380,Solo Leisure,Economy Class,San Francisco to London,san francisco,london,Nov-22,2,1,2,2,3,1,2,FALSE
5,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,baltimore,london,Nov-22,1,3,3,1,2,,3,TRUE
17,A320neo,Couple Leisure,Economy Class,London to Cairo,london,cairo,Oct-22,1,1,1,,4,1,1,FALSE
19,A321neo,Business,Economy Class,London to Cairo,london,cairo,Oct-22,2,4,1,,3,2,1,FALSE
6,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,london,gibraltar,Oct-22,2,1,1,,3,,3,FALSE
9,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,copenhagen,london,Oct-22,3,5,5,,4,5,5,TRUE
10,A320,Family Leisure,Economy Class,Larnaca to London,larnaca,london,Oct-22,1,2,1,1,2,,2,FALSE
11,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,atlanta,london,Oct-22,5,4,4,5,5,5,4,TRUE
15,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,miami,london,Oct-22,5,5,3,2,4,,3,TRUE
16,A380,Solo Leisure,Business Class,Dubai to London,dubai,london,Oct-22,4,4,4,2,4,2,3,TRUE
18,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,orlando,london,Oct-22,5,5,5,5,5,4,4,TRUE
8,A350-1000,Solo Leisure,Business Class,London to Los Angeles,london,los angeles,Oct-22,5,4,5,5,3,5,5,TRUE
14,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,london,los angeles,Oct-22,3,4,3,4,4,,4,TRUE
7,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,london,nairobi,Oct-22,3,1,1,2,1,1,1,FALSE
13,A380,Couple Leisure,Economy Class,London to San Francisco,london,san francisco,Oct-22,1,1,3,3,1,5,1,FALSE
12,A380,Solo Leisure,Economy Class,London to Washington,london,washington,Oct-22,3,5,5,3,2,,5,TRUE
22,A320,Couple Leisure,Business Class,London Heathrow to Jersey,london,jersey,Sep-22,4,5,4,,3,,4,TRUE
25,A320,Couple Leisure,Economy Class,London to Lisbon,london,lisbon,Sep-22,4,5,1,,3,,3,TRUE
20,A380,Couple Leisure,Economy Class,Dallas to London,dallas,london,Sep-22,2,4,2,4,4,,3,TRUE
21,A319,Couple Leisure,Business Class,Jersey to London Heathrow,jersey,london,Sep-22,4,4,4,,3,,4,TRUE
23,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,istanbul,london,Sep-22,1,3,2,1,3,,2,FALSE
24,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,london,new york,Sep-22,5,4,4,4,5,,5,TRUE
27,Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,tel aviv,london,Aug-22,5,5,5,5,3,,4,TRUE
28,Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,cape town,london,Aug-22,2,1,1,3,4,,3,FALSE
26,Boeing 777,Family Leisure,Economy Class,London to Rome,london,rome,Aug-22,4,4,3,,1,,2,FALSE
32,A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow ,sao paulo,london ,Jul-22,1,2,3,1,3,,3,TRUE
30,A380,Family Leisure,Business Class,San Francisco to London,san francisco,london,Jul-22,4,5,4,4,4,5,4,TRUE
34,A321,Business,Economy Class,Belfast to London,belfast,london,Jul-22,4,5,2,,2,,4,TRUE
36,Embraer 190,Couple Leisure,Business Class,Dublin to London City,dublin,london,Jul-22,4,4,3,,1,,1,FALSE
35,A350,Family Leisure,Business Class,London to Los Angeles,london,los angeles,Jul-22,4,4,4,5,5,5,4,TRUE
37,A350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,london,johannesburg,Jun-22,1,3,3,2,2,,4,FALSE
38,A350,Business,Economy Class,London to Johannesburg,london,johannesburg,Jun-22,1,4,1,2,3,1,2,FALSE
39,A320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,paris,london,Jun-22,1,4,1,1,2,1,1,FALSE
41,A380,Solo Leisure,Economy Class,Vancouver to London,vancouver,london,Jun-22,1,2,1,3,2,,3,FALSE
43,Boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,cancun,london,Jun-22,4,3,2,4,3,,3,FALSE
45,A380,Solo Leisure,Business Class,Vancouver to London,vancouver,london,Jun-22,4,5,3,4,2,4,5,TRUE
40,A320,Business,Business Class,London to Malaga,london,malaga,Jun-22,3,2,2,,2,3,3,FALSE
1,A320,Solo Leisure,Business Class,London to Marrakech,london,marrakech,Jun-22,3,5,5,,4,,3,TRUE
29,A320,Solo Leisure,Business Class,London to Marrakesh,london,marrakesh,Jun-22,1,1,1,1,1,1,1,FALSE
42,Boeing 777-200,Couple Leisure,Business Class,London to san Francisco,london,san francisco,Jun-22,4,4,3,5,2,4,4,TRUE
44,A320,Couple Leisure,Business Class,London to Thira,london,thira,Jun-22,5,5,5,,5,,5,TRUE
31,A320,Solo Leisure,Economy Class,London to Amman,london,amman,May-22,1,1,,,1,,1,FALSE
46,Boeing 777-300ER,Business,Economy Class,London to Boston,london,boston,May-22,4,5,5,,5,5,3,TRUE
48,Boeing 777-300,Family Leisure,Economy Class,Bridgetown to London ,bridgetown,london,May-22,1,5,1,3,3,,1,FALSE
50,A320,Couple Leisure,Business Class,Athens to London,athens,london,May-22,2,4,3,,3,2,2,FALSE
49,A320,Solo Leisure,Economy Class,London Heathrow to Malaga,london,malaga,May-22,3,2,1,1,1,1,3,FALSE
33,A321,Couple Leisure,Economy Class,London to Reykjavik,london,reykjavik,May-22,3,4,1,,1,,4,TRUE
63,A320,Business,Business Class,London to Barcelona,london,barcelona,Apr-22,1,1,1,,1,,1,FALSE
52,Boeing 777,Solo Leisure,Economy Class,London to Cape Town,london,cape town,Apr-22,2,1,2,,1,,1,FALSE
56,Boeing 737 800,Couple Leisure,Economy Class,Johannesburg to Durban,johannesburg,durban,Apr-22,1,1,1,,1,,1,FALSE
47,Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,johannesburg,london,Apr-22,4,4,3,,3,,3,TRUE
53,A321 Neo,Family Leisure,Business Class,Madrid to London Heathrow,madrid,london,Apr-22,3,5,5,,5,,4,TRUE
54,A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,dubrovnik,london,Apr-22,4,5,5,,5,,5,TRUE
58,A320neo,Business,Business Class,Malaga to London,malaga,london,Apr-22,2,4,2,,2,1,2,FALSE
59,Boeing 777-200,Business,Business Class,Phoenix to London Heathrow,phoenix,london,Apr-22,5,5,5,5,4,3,5,TRUE
60,Embraer,Solo Leisure,Business Class,Edinburgh to London City,edinburgh,london,Apr-22,5,5,5,,5,,4,TRUE
65,A320,Business,Business Class,Geneva to London,geneva,london,Apr-22,4,5,4,,1,3,4,FALSE
51,Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,london,mexico city,Apr-22,5,4,4,3,4,,4,TRUE
70,Boeing 787-9,Couple Leisure,Economy Class,London to Austin,london,austin,Mar-22,4,1,1,1,1,,3,FALSE
